"series_name","start_timestamp","value","trend","detrended"
"T1299",1983 Jan,6001.5,6038.93361227116,-37.4336122711575
"T1299",1983 Feb,6016.5,6079.67900770339,-63.1790077033938
"T1299",1983 Mar,6054.5,6120.42440313563,-65.9244031356311
"T1299",1983 Apr,6110,6161.16979856787,-51.1697985678675
"T1299",1983 May,6186.5,6201.55940167787,-15.059401677865
"T1299",1983 Jun,6279.5,6241.94900478786,37.5509952121374
"T1299",1983 Jul,6239,6282.33860789786,-43.3386078978601
"T1299",1983 Aug,6344.5,6322.53360467834,21.9663953216632
"T1299",1983 Sep,6466.5,6362.72860145881,103.771398541186
"T1299",1983 Oct,6486,6402.92359823929,83.0764017607089
"T1299",1983 Nov,6502.5,6440.36822645164,62.1317735483626
"T1299",1983 Dec,6482,6477.81285466398,4.18714533601633
"T1299",1984 Jan,6455,6515.25748287633,-60.25748287633
"T1299",1984 Feb,6508.5,6542.43139661248,-33.931396612481
"T1299",1984 Mar,6568,6569.60531034863,-1.60531034863197
"T1299",1984 Apr,6606,6596.77922408478,9.22077591521702
"T1299",1984 May,6646.5,6611.29342795178,35.2065720482242
"T1299",1984 Jun,6719.5,6625.80763181877,93.6923681812323
"T1299",1984 Jul,6642.5,6640.32183568576,2.17816431423944
"T1299",1984 Aug,6726,6642.20726994283,83.7927300571719
"T1299",1984 Sep,6760,6644.0927041999,115.907295800105
"T1299",1984 Oct,6724.5,6645.97813845696,78.5218615430376
"T1299",1984 Nov,6681,6636.96964685082,44.0303531491809
"T1299",1984 Dec,6644,6627.96115524468,16.0388447553232
"T1299",1985 Jan,6572.5,6618.95266363853,-46.4526636385335
"T1299",1985 Feb,6553.5,6604.93544060568,-51.4354406056846
"T1299",1985 Mar,6561,6590.91821757283,-29.9182175728347
"T1299",1985 Apr,6540.5,6576.90099453999,-36.4009945399857
"T1299",1985 May,6547.5,6563.35804575118,-15.8580457511753
"T1299",1985 Jun,6585,6549.81509696236,35.1849030376361
"T1299",1985 Jul,6471,6536.27214817355,-65.2721481735534
"T1299",1985 Aug,6549,6524.83704041675,24.162959583251
"T1299",1985 Sep,6572.5,6513.40193265994,59.0980673400554
"T1299",1985 Oct,6545.5,6501.96682490314,43.5331750968598
